latitude,longitude,elevation,slope,clay_percentage,aspect,aspect_sin,aspect_cos,clay_percent,sand_percent,silt_percent,bulk_density,shear_stress_factor
25.61,93.17,358.0,15.8,26.9,312.1,-0.742,0.6704,26.9,36.3,27.7,1.072,0.2869
25.61,93.18,304.0,11.5,26.9,227.9,-0.742,-0.6704,26.9,36.3,27.7,1.072,0.2101
25.61,93.19,330.0,15.3,26.9,270.0,-1.0,-0.0,26.9,36.3,27.7,1.072,0.2781
25.61,93.2,347.0,17.5,26.9,227.9,-0.742,-0.6704,26.9,36.3,27.7,1.072,0.3169
25.61,93.21,337.0,23.0,26.9,270.0,-1.0,-0.0,26.9,36.3,27.7,1.072,0.4118
25.61,93.22,402.0,17.8,26.9,270.0,-1.0,-0.0,26.9,36.3,27.7,1.072,0.3221
25.61,93.23,450.0,15.8,26.9,270.0,-1.0,-0.0,26.9,36.3,27.7,1.072,0.2869
25.61,93.24,345.0,19.1,26.9,227.9,-0.742,-0.6704,26.9,36.3,27.7,1.072,0.3448
25.61,93.25,431.0,25.0,26.9,270.0,-1.0,-0.0,26.9,36.3,27.7,1.072,0.4454
25.61,93.26,456.0,19.1,26.9,312.1,-0.742,0.6704,26.9,36.3,27.7,1.072,0.3448
25.61,93.27,449.0,15.7,26.9,227.9,-0.742,-0.6704,26.9,36.3,27.7,1.072,0.2852
25.61,93.28,414.0,20.7,26.9,270.0,-1.0,-0.0,26.9,36.3,27.7,1.072,0.3725
25.61,93.29,392.0,20.8,26.9,270.0,-1.0,-0.0,26.9,36.3,27.7,1.072,0.3742
25.62,92.69,658.0,39.8,26.4,270.0,-1.0,-0.0,26.4,36.0,27.6,1.08,0.6739
25.62,92.7,635.0,36.8,26.6,270.0,-1.0,-0.0,26.6,34.8,28.4,1.07,0.6309
25.62,92.71,594.0,35.0,26.8,270.0,-1.0,-0.0,26.8,33.9,28.5,1.065,0.6043
25.62,92.72,555.0,34.2,26.6,270.0,-1.0,-0.0,26.6,34.6,28.7,1.072,0.592
25.62,92.73,435.0,26.8,26.2,312.1,-0.742,0.6704,26.2,34.8,28.8,1.077,0.4745
25.62,92.74,359.0,20.0,26.2,312.1,-0.742,0.6704,26.2,34.8,28.8,1.077,0.3599
25.62,92.75,325.0,10.7,26.4,227.9,-0.742,-0.6704,26.4,35.5,27.9,1.092,0.1955
25.62,92.76,320.0,14.2,26.3,270.0,-1.0,-0.0,26.3,35.9,27.6,1.098,0.2582
25.62,92.77,286.0,17.9,26.0,270.0,-1.0,-0.0,26.0,37.2,27.3,1.113,0.3233
25.62,92.78,324.0,13.9,25.8,270.0,-1.0,-0.0,25.8,37.9,27.4,1.124,0.2526
25.62,92.79,336.0,10.4,25.8,312.1,-0.742,0.6704,25.8,37.8,27.2,1.135,0.1898
25.62,92.8,291.0,8.8,25.8,270.0,-1.0,-0.0,25.8,37.8,27.2,1.135,0.1609
25.62,92.81,247.0,6.5,25.4,312.1,-0.742,0.6704,25.4,36.7,27.7,1.137,0.119
25.62,92.82,308.0,8.6,25.0,270.0,-1.0,-0.0,25.0,36.4,28.0,1.138,0.157
25.62,92.83,261.0,9.1,24.8,270.0,-1.0,-0.0,24.8,36.3,28.4,1.14,0.166
25.62,92.84,275.0,6.8,24.1,312.1,-0.742,0.6704,24.1,35.5,29.5,1.143,0.1241
